;price;nroom;sqmeter;lat;long;condom;floor;tpprop;status;heating;ac;photosnum;enclass;contr;furnished;kitchen
1;1450;2;85;454.591;920.931;150;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Assente;20;F;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
2;2500;3;110;45.468;91.662;200;2;Intera proprieta, immobile di lusso;Buono / Abitabile;Centralizzato;Assente;20;G;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
3;1500;1;70;454.593;91.726;112;0;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;20;D;Affitto, transitorio;Arredato;Cucina abitabile
4;2750;4;130;454.671;915.978;480;4;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Autonomo, solo freddo;20;G;Affitto, 4+4;Arredato;Cucina abitabile
5;1900;2;89;454.565;917.668;130;3;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, solo freddo;20;G;Affitto;Arredato;Cucina abitabile
6;2800;2;69;454.771;91.842;250;2;Intera proprieta, immobile di lusso;Nuovo / In costruzione;Centralizzato;Centralizzato, solo freddo;20;A3, edificio energia quasi zero;Affitto, 4+4;Arredato;Cucina a vista
7;2500;4;160;454.652;921.493;500;5;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Unknown;Assente;20;G;Affitto, 4+4;Not given;Cucina abitabile
8;1700;2;70;45.462;919.377;250;8;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;16;G;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
9;1100;1;31;454.511;92.006;8;4;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;13;G;Affitto, 4+4;Arredato;cucina angolo cottura
10;5000;5;210;454.657;917.083;830;2;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;20;F;Affitto, 4+4;Parzialmente arredato;cucina semi abitabile
11;1400;2;75;454.649;92.076;100;2;Intera proprieta, classe immobile signorile;Ottimo/Ristrutturato;Autonomo;Autonomo, freddo/caldo;14;NA;Affitto, 4+4;Parzialmente arredato;Cucina abitabile
12;2500;2;65;454.701;919.694;335;2;Intera proprieta, classe immobile signorile;Buono / Abitabile;Centralizzato;Autonomo, solo freddo;13;E;Affitto, 4+4;Not given;Cucina abitabile
13;1200;2;65;454.687;915.091;200;1;Classe immobile signorile;Ottimo/Ristrutturato;Centralizzato;Autonomo, solo freddo;12;G;Affitto, 4+4;Arredato;cucinotto
